event_type, timestamp, total_iterations, iterations_per_second, resident_set_size, percent_heap_used, percent_new_space_used, percent_old_space_used
PROFILE, 2630, 1219090, 180180, 554156032, 93.92099689778036, 32.890892028808594, 98.20607617361173
PROFILE, 2731, 1224439, 52960.396039603955, 554156032, 94.88365903548221, 48.33331108093262, 98.20613194030886
PROFILE, 2832, 1227213, 27465.346534653465, 559063040, 93.33351749311684, 22.206664085388184, 98.24411484810035
MARK_SWEEP, 2915
PROFILE, 2932, 1242366, 151530, 559763456, 94.7148933624393, 45.08070945739746, 98.17401021543759
PROFILE, 3032, 1281927, 395610, 581476352, 93.5634891544623, 24.733567237854004, 98.11599417104703
PROFILE, 3132, 1334968, 530410, 601083904, 94.44682880812087, 41.30356311798096, 97.87471651113508
PROFILE, 3232, 1376706, 417380, 620744704, 93.47529648574864, 25.188589096069336, 97.66159292065112
PROFILE, 3332, 1430883, 541770, 640409600, 94.48324033004585, 44.959044456481934, 97.46389704612196
PROFILE, 3443, 1479668, 435580.35714285716, 664985600, 92.85448946468536, 15.037345886230469, 97.23563637303556
PROFILE, 3544, 1535144, 554760, 684650496, 93.99723153682716, 38.55428695678711, 97.06643987607603
PROFILE, 3652, 1586149, 472268.51851851854, 709230592, 92.8020472356428, 15.038466453552246, 96.8699756371238
PROFILE, 3751, 1638040, 518910, 728891392, 93.39205684781317, 28.213787078857422, 96.72356165059756
PROFILE, 3852, 1689971, 519310, 748556288, 93.95395808914165, 41.503024101257324, 96.58582317183388
PROFILE, 3952, 1737751, 477800, 768217088, 93.96009040225164, 42.818236351013184, 96.45603134392292
PROFILE, 4051.9999999999995, 1787248, 494970, 787877888, 94.17721569731249, 49.085354804992676, 96.33349402730376
PROFILE, 4159, 1834603, 442570.09345794393, 812457984, 92.70325331653744, 15.038466453552246, 96.18962805863343
PROFILE, 4259, 1886376, 517730, 832118784, 93.20413533967378, 27.874016761779785, 96.0813355724524
PROFILE, 4367, 1941083, 506546.2962962963, 856694784, 92.66863623816002, 15.037345886230469, 95.953763655214
PROFILE, 4469, 2000240, 579970.5882352941, 881283072, 92.65104954122395, 15.038466453552246, 95.83403225101834
PROFILE, 4569, 2051751, 515110, 900943872, 93.08462466604863, 27.11799144744873, 95.7434343612542
PROFILE, 4669, 2098681, 469300, 920604672, 93.02058340359876, 25.979256629943848, 95.6571107979994
PROFILE, 4769, 2147003, 483220, 940269568, 93.10141447389722, 28.85739803314209, 95.57473884113912
PROFILE, 4869, 2196151, 491480, 959930368, 93.26124936381261, 34.119462966918945, 95.49608389547
PROFILE, 4969, 2213560, 174090, 969674752, 93.12920537000824, 16.083145141601562, 95.99110324954735
PROFILE, 5071, 2217147, 35514.851485148516, 969674752, 93.48570840439922, 26.441526412963867, 95.99113307410396
PROFILE, 5172, 2219312, 21225.490196078434, 969674752, 93.70105577482126, 32.69829750061035, 95.99116034227002
PROFILE, 5272, 2220934, 16220, 969674752, 93.86246866361819, 37.387847900390625, 95.99118761043607
PROFILE, 5372, 2222489, 15550, 969678848, 94.01721830470044, 41.88382625579834, 95.99121317434175
PROFILE, 5474, 2224111, 16059.405940594059, 969678848, 94.17864514192874, 46.573710441589355, 95.99124299889836
MARK_SWEEP, 5494
PROFILE, 5578, 2247338, 223336.53846153847, 983506944, 94.21959893586951, 15.84634780883789, 97.12231164093176
PROFILE, 5677, 2291779, 444410, 998207488, 96.08047210160773, 41.4060115814209, 98.1327556426295
PROFILE, 5777, 2338819, 470400, 1017860096, 95.96859260939603, 40.60323238372803, 98.00006157508471
PROFILE, 5884, 2389114, 474481.1320754717, 1042436096, 95.03712032013831, 15.038466453552246, 97.84377326633316
PROFILE, 5983, 2436664, 475500, 1062096896, 94.99878428942858, 15.689897537231445, 97.72457427448536
PROFILE, 6083, 2488233, 515690, 1081757696, 95.32472819600916, 27.936840057373047, 97.61021419847992
PROFILE, 6183, 2538381, 501480, 1101422592, 95.51228909732366, 36.08207702636719, 97.50037029724018
PROFILE, 6283, 2588343, 499620, 1121083392, 95.67668398438936, 43.69189739227295, 97.39481245227975
PROFILE, 6391, 2637567, 460037.3831775701, 1145659392, 94.75100864820101, 15.038537979125977, 97.26850558286947
PROFILE, 6490, 2687715, 501480, 1165320192, 94.93796843045908, 23.185181617736816, 97.17168666271795
PROFILE, 6591, 2734544, 468290, 1184980992, 94.84657757680186, 21.755075454711914, 97.07840641334367
PROFILE, 6691, 2779540, 449960, 1204641792, 94.61100808767227, 15.038347244262695, 96.98849605653953
PROFILE, 6793, 2829319, 497790, 1224302592, 94.76156744928421, 22.119140625, 96.901756990544
PROFILE, 6891, 2876936, 476170, 1243967488, 94.7390337513154, 22.963333129882812, 96.81801298907209
PROFILE, 6996, 2921513, 432786.4077669903, 1263628288, 94.4849222615698, 15.037918090820312, 96.73713625434044
PROFILE, 7095, 2928643, 71300, 1263681536, 95.03017518434073, 35.617828369140625, 96.73715966273599
PROFILE, 7193, 2930787, 21440, 1263681536, 95.1943309158824, 41.813111305236816, 96.73718242089835
PROFILE, 7296, 2932342, 15097.087378640777, 1263681536, 95.3134828474176, 46.309852600097656, 96.73720127766144
PROFILE, 7397, 2933558, 12160, 1268510720, 94.88317443545648, 15.680456161499023, 97.12958125709534
PROFILE, 7502, 2934977, 13514.285714285716, 1268510720, 94.99191235325507, 19.783973693847656, 97.1296040152577
PROFILE, 7602, 2936464, 14722.772277227721, 1268510720, 95.10587401664726, 24.084758758544922, 97.12962417248721
PROFILE, 7703, 2937951, 14870, 1268514816, 95.21981799383914, 28.384852409362793, 97.12964497994993
PROFILE, 7804, 2939438, 14722.772277227721, 1268518912, 95.33375628618091, 32.68465995788574, 97.12966773811227
MARK_SWEEP, 7811
PROFILE, 7906, 2974799, 350108.91089108906, 1281998848, 96.28912983568382, 42.89963245391846, 97.82868206409087
PROFILE, 8005.000000000001, 3005482, 306830, 1296076800, 96.33303414226363, 29.53364849090576, 98.22254111790679
