event_type, timestamp, total_iterations, iterations_per_second, resident_set_size, percent_heap_used, percent_new_space_used, percent_old_space_used
PROFILE, 42006, 19685778, 473972, 81711104, 34.84215322781655, 9.343457221984863, 71.51161180323025
PROFILE, 43007, 20158637, 472386.61338661343, 81715200, 29.395059798283718, 0.004553794860839844, 71.5148048182982
PROFILE, 44007, 20632831, 474194, 81715200, 55.04706583374875, 43.972229957580566, 71.51919040525901
PROFILE, 45007, 21107267, 474436, 81719296, 52.45150430405213, 39.52131271362305, 71.5221525999606
PROFILE, 46007, 21583454, 476187, 81723392, 53.02222517714713, 40.497636795043945, 71.5253071449675
PROFILE, 47007, 22056526, 473072, 81727488, 47.961556179675256, 31.82041645050049, 71.5296157918062
PROFILE, 48007, 22527638, 471112, 81731584, 39.35609466244125, 17.067742347717285, 71.53277033681307
PROFILE, 49007, 22999311, 471673, 81735680, 31.76427748005982, 4.052543640136719, 71.53596335188102
PROFILE, 50007, 23477540, 478229, 81739776, 36.02889712558752, 11.359882354736328, 71.54031046878077
PROFILE, 51007, 23948047, 470507, 81743872, 55.01245983033044, 43.89784336090088, 71.54350348384872
PROFILE, 52007, 24413383, 465336, 81747968, 35.961535037743914, 11.240458488464355, 71.54669649891669
PROFILE, 53007, 24874375, 460992, 81752064, 37.74062856074633, 14.287328720092773, 71.55104361581643
PROFILE, 54007, 25342292, 467917, 81752064, 52.040905742593644, 38.797616958618164, 71.55423663088439
PROFILE, 55007, 25813241, 470949, 81756160, 43.13976318811423, 23.53823184967041, 71.55719882558597
PROFILE, 56007, 26279473, 466232, 81760256, 54.39511543494516, 42.82846450805664, 71.56154594248572
PROFILE, 57007, 26751433, 471960, 81760256, 47.32226312135023, 30.702829360961914, 71.56473895755367
PROFILE, 58007, 27215874, 464441, 81764352, 55.33684938488107, 44.438886642456055, 71.56770115225527
PROFILE, 59007, 27684855, 468981, 81768448, 42.87932797589375, 23.082613945007324, 71.572048269155
PROFILE, 60007, 28153912, 469057, 81768448, 30.557045381712005, 1.9588947296142578, 71.57520281416191
PROFILE, 61007, 28623627, 469715, 81768448, 48.10929933414044, 32.04357624053955, 71.57816500886351
PROFILE, 62007, 29093848, 470221, 81776640, 37.89397710885202, 14.5308256149292, 71.58228130539689
PROFILE, 63007, 29558000, 464152, 81776640, 45.3868305796895, 27.372455596923828, 71.58543585040378
PROFILE, 64007, 30018596, 460596, 81780736, 46.44836417088022, 29.19023036956787, 71.58835957504431
PROFILE, 65008, 30488188, 469122.87712287717, 81784832, 35.094896671592366, 9.726428985595703, 71.59270669194406
PROFILE, 66010, 30960923, 471791.4171656687, 81788928, 29.424408137195556, 0.004553794860839844, 71.59597664713414
PROFILE, 67010, 31428785, 467862, 81788928, 43.624984421734794, 24.34408664703369, 71.59893884183572
PROFILE, 68010, 31891942, 463157, 81793024, 49.31985572300954, 34.10317897796631, 71.60305513836911
PROFILE, 69010, 32367670, 475728, 81793024, 49.060519334852586, 33.6566686630249, 71.60624815343706
PROFILE, 70010, 32837000, 469330, 81801216, 37.23181738267341, 13.379144668579102, 71.6091718780776
PROFILE, 71010, 33313106, 476106, 81805312, 37.65753520687936, 14.106202125549316, 71.61348052491628
PROFILE, 72010, 33787129, 474023, 81809408, 34.315941683876936, 8.376359939575195, 71.61667353998425
PROFILE, 73010, 34261266, 474137, 81809408, 31.17975871492665, 2.9986143112182617, 71.6198665550522
PROFILE, 74010, 34732868, 471602, 81809408, 52.14475157117931, 38.93241882324219, 71.62394438152452
PROFILE, 75010, 35204754, 471886, 81817600, 44.937912267661304, 26.577258110046387, 71.62690657622612
PROFILE, 76010, 35676677, 471923, 81817600, 37.798142959514315, 14.336919784545898, 71.63009959129407
PROFILE, 77010, 36151262, 474585, 81821696, 35.47335115190144, 10.349416732788086, 71.63421588782745
PROFILE, 78010, 36618650, 467388, 81825792, 48.81683075772682, 33.21964740753174, 71.6374089028954
PROFILE, 79014, 37083806, 463302.7888446215, 81825792, 29.440528859849024, 0.004553794860839844, 71.64056344790231
PROFILE, 80014, 37555666, 471860, 81829888, 50.87186821232731, 36.737847328186035, 71.64444892406934
PROFILE, 81014, 38030813, 475147, 81833984, 49.562000382780234, 34.49060916900635, 71.64764193913729
PROFILE, 82014, 38501755, 470942, 81838080, 40.6483256703105, 19.209599494934082, 71.65083495420525
PROFILE, 83014, 38981088, 479333, 81842176, 46.90925827428429, 29.938864707946777, 71.65514360104393
PROFILE, 84014, 39450484, 469396, 81842176, 35.19999432506054, 9.865903854370117, 71.65833661611187
PROFILE, 85014, 39920161, 469677, 81850368, 52.68263290485686, 39.83125686645508, 71.66129881081346
PROFILE, 86014, 40394610, 474449, 81850368, 50.11203832698333, 35.42227745056152, 71.66564592771321
PROFILE, 87014, 40870805, 476195, 81850368, 50.69797582698333, 36.424803733825684, 71.66860812241481
PROFILE, 88014, 41346548, 475743, 81858560, 50.465790129611165, 36.02497577667236, 71.6715703171164
PROFILE, 89014, 41822401, 475853, 81862656, 50.43397986843042, 35.9677791595459, 71.67587896395509
PROFILE, 90014, 42293296, 470895, 81866752, 41.436112978030195, 20.542478561401367, 71.679033508962
PROFILE, 91014, 42766550, 473254, 81870848, 36.703102188968806, 12.427616119384766, 71.68218805396887
PROFILE, 92014, 43226719, 460169, 81874944, 36.99398456416465, 12.923526763916016, 71.68653517086862
PROFILE, 93014, 43692746, 466027, 81879040, 47.87659899764991, 31.575560569763184, 71.68972818593657
PROFILE, 94014, 44154812, 462066, 81887232, 51.597384186725535, 37.9514217376709, 71.69292120100454
PROFILE, 95014, 44630081, 475269, 81899520, 50.51041073208945, 36.08555793762207, 71.69722984784322
PROFILE, 96014, 45098679, 468598, 81907712, 37.358835880750604, 13.540315628051758, 71.70042286291117
PROFILE, 97014, 45572509, 473830, 81915904, 33.66746857641362, 7.2109222412109375, 71.70361587797912
PROFILE, 98014, 46027446, 454937, 81924096, 53.181443393035174, 40.65735340118408, 71.70796299487886
PROFILE, 99014, 46495054, 467608, 81928192, 38.238924409806295, 15.04223346710205, 71.71115600994682
PROFILE, 100014, 46953438, 458384, 81940480, 35.30161468718844, 10.005378723144531, 71.71434902501477
PROFILE, 101014, 47421104, 467666, 81944576, 49.149996995620285, 33.74035358428955, 71.71869614191452
PROFILE, 102014, 47890413, 469309, 81948672, 37.28342038616294, 13.397741317749023, 71.72188915698247
PROFILE, 103014, 48364964, 474551, 81952768, 34.89582869694488, 9.3031644821167, 71.72508217205042
PROFILE, 104014, 48830524, 465560, 81969152, 44.935186071250534, 26.50907039642334, 71.7293908188891
PROFILE, 105014, 49299609, 469085, 81973248, 32.66353283898305, 5.472135543823242, 71.73254536389601
PROFILE, 106014, 49765979, 466370, 81977344, 44.16635695591796, 25.187277793884277, 71.73573837896396
PROFILE, 107014, 50229598, 463619, 81981440, 50.696696183770115, 36.37831211090088, 71.74008549586371
PROFILE, 108014, 50701610, 472012, 81989632, 43.717800282189145, 24.413728713989258, 71.74327851093165
PROFILE, 109014, 51175239, 473629, 81997824, 39.66300039613303, 17.461371421813965, 71.74647152599961
PROFILE, 110014, 51637902, 462663, 82001920, 44.46372100217206, 25.687646865844727, 71.75081864289935
PROFILE, 111014, 52101566, 463664, 82006016, 51.0733981092437, 37.015390396118164, 71.7540116579673
PROFILE, 112014, 52573537, 471971, 82014208, 44.02118699704458, 24.92518424987793, 71.75712773291313
PROFILE, 113014, 53043568, 470031, 82026496, 33.4615155649124, 6.822037696838379, 71.76147484981288
PROFILE, 114014, 53521045, 477477, 82026496, 36.364956469876084, 11.796903610229492, 71.76462939481978
PROFILE, 115014, 53997017, 475972, 82038784, 36.54684662530266, 12.106847763061523, 71.76759158952137
PROFILE, 116014, 54471193, 474176, 82042880, 33.483380772859995, 6.853032112121582, 71.77193870642111
PROFILE, 117014, 54946808, 475615, 82042880, 33.019788291375875, 6.056404113769531, 71.77513172148907
PROFILE, 118014, 55426002, 479194, 82051072, 39.02807481573138, 16.353440284729004, 71.77809391619067
PROFILE, 119014, 55897506, 471504, 82063360, 31.132843100163793, 2.8174400329589844, 71.78244103309041
PROFILE, 120014, 56368800, 471294, 82063360, 51.5404957003988, 37.79644966125488, 71.78563404815836
PROFILE, 121014, 56843123, 474323, 82071552, 48.741290080650906, 32.996487617492676, 71.7885577727989
PROFILE, 122014, 57319345, 476222, 82083840, 49.37686939182452, 34.08327102661133, 71.79286641963758
PROFILE, 123014, 57785622, 466277, 82087936, 32.0282873477781, 4.343891143798828, 71.79605943470554
PROFILE, 124015, 58253444, 467354.6453546454, 82096128, 46.156688973258795, 28.559589385986328, 71.79921397971243
PROFILE, 125015, 58721053, 467609, 82100224, 31.21825928464606, 2.950716018676758, 71.8036380367343
PROFILE, 126015, 59195974, 474921, 82100224, 29.500630363374164, 0.004553794860839844, 71.80679258174119
PROFILE, 127015, 59667166, 471192, 82112512, 49.72280424351944, 34.66596603393555, 71.8094470159543
PROFILE, 128015, 60134241, 467075, 82120704, 33.818549930565446, 7.401633262634277, 71.81375566279299
PROFILE, 129015, 60605419, 471178, 82128896, 54.015520403076486, 42.01951026916504, 71.81694867786094
PROFILE, 130015, 61072003, 466584, 82137088, 37.22130205366045, 13.230371475219727, 71.8201416929289
PROFILE, 131015, 61542755, 470752, 82145280, 56.649318228350666, 46.529483795166016, 71.82445033976758
PROFILE, 132015, 62013006, 470251, 82153472, 46.48605800900869, 29.106545448303223, 71.82764335483553
PROFILE, 133015, 62490395, 477389, 82157568, 49.23043369890329, 33.80873203277588, 71.83083636990348
PROFILE, 134015, 62962059, 471664, 82161664, 41.623678072924086, 20.7672119140625, 71.83518348680323
PROFILE, 135015, 63441354, 479295, 82169856, 47.81539867006124, 31.378555297851562, 71.83833803181012
PROFILE, 136016, 63908416, 466595.40459540463, 82173952, 31.885607129504344, 4.071140289306641, 71.84153104687809
PROFILE, 137016, 64379393, 470977, 82182144, 51.72050811850164, 38.067626953125, 71.84595510389994
PROFILE, 138016, 64844063, 464670, 82186240, 31.465230424797035, 3.3458709716796875, 71.84910964890683
PROFILE, 139016, 65311360, 467297, 82198528, 44.64427587772397, 25.934243202209473, 71.85230266397478
PROFILE, 140016, 65784839, 473479, 82206720, 40.320500551915686, 18.520116806030273, 71.85664978087453
PROFILE, 141016, 66260159, 475320, 82214912, 39.32415921877225, 16.810297966003418, 71.85984279594248
PROFILE, 142016, 66733155, 472996, 82214912, 34.124746296823815, 7.895946502685547, 71.86303581101043
PROFILE, 143016, 67208201, 475046, 82223104, 32.63355858762997, 5.337333679199219, 71.86715210754383
PROFILE, 144016, 67682659, 474458, 82227200, 30.07774945253525, 0.9544134140014648, 71.87034512261178
PROFILE, 145016, 68149398, 466739, 82235392, 42.24782405017092, 21.813297271728516, 71.87353813767973
PROFILE, 146016, 68618685, 469287, 82239488, 30.34266341600199, 1.4038324356079102, 71.87788525457948
PROFILE, 147016, 69086627, 467942, 82251776, 44.68802020278451, 25.991392135620117, 71.88107826964742
PROFILE, 148016, 69535865, 449238, 82255872, 53.89520612270332, 41.771554946899414, 71.88427128471538
PROFILE, 149016, 69992984, 457119, 82268160, 48.67078452143569, 32.81362056732178, 71.88861840161512
PROFILE, 150016, 70466843, 473859, 82276352, 45.031882588840624, 26.574158668518066, 71.89181141668308
PROFILE, 151016, 70934143, 467300, 82280448, 29.532524079547073, 0.004553794860839844, 71.89500443175103
PROFILE, 152016, 71397826, 463683, 82288640, 36.1775304666358, 11.39233112335205, 71.8990437881623
PROFILE, 153016, 71865949, 468123, 82296832, 50.85030900601766, 36.541175842285156, 71.90215986310814
PROFILE, 154016, 72329976, 464027, 82300928, 58.11712463057257, 48.995327949523926, 71.90535287817609
PROFILE, 155016, 72792504, 462528, 82309120, 33.9906619427432, 7.637190818786621, 71.90969999507584
PROFILE, 156016, 73258759, 466255, 82313216, 45.28540494587666, 26.99568271636963, 71.91285454008273
PROFILE, 157016, 73733469, 474710, 82317312, 43.185371341333145, 23.394012451171875, 71.91604755515067
PROFILE, 158016, 74196319, 462850, 82329600, 48.32423766646489, 32.199907302856445, 71.92039467205042
PROFILE, 159016, 74661804, 465485, 82329600, 29.542858589410343, 0.004553794860839844, 71.92358768711837
PROFILE, 160016, 75122414, 460610, 82337792, 30.629720770723544, 1.8659114837646484, 71.9262421213315
PROFILE, 161016, 75585930, 463516, 82345984, 36.973718910233586, 12.737560272216797, 71.93055076817018
PROFILE, 162016, 76050964, 465034, 82354176, 46.0606740047714, 28.311634063720703, 71.93374378323813
PROFILE, 163016, 76524088, 473124, 82358272, 41.09268177610027, 19.793987274169922, 71.93689832824502
PROFILE, 164016, 76993670, 469582, 82370560, 29.72185563844182, 0.3004312515258789, 71.94124544514477
PROFILE, 165017, 77469447, 475301.6983016984, 82374656, 29.551231906957696, 0.005984306335449219, 71.94443846021272
PROFILE, 166017, 77934311, 464864, 82386944, 38.3316846335992, 15.054631233215332, 71.9477084154028
PROFILE, 167017, 78398683, 464372, 82386944, 46.223619876976215, 28.57964038848877, 71.95197859218042
PROFILE, 168017, 78866077, 467394, 82395136, 30.89406445841048, 2.3012399673461914, 71.95494078688202
PROFILE, 169017, 79341232, 475155, 82403328, 29.598745615831078, 0.07894039154052734, 71.95813380194997
PROFILE, 170018, 79801217, 459525.4745254746, 82403328, 29.556920755590372, 0.004553794860839844, 71.9624809188497
PROFILE, 171018, 80269419, 468202, 82407424, 44.37226823992309, 25.39803981781006, 71.96517382312389
PROFILE, 172018, 80738126, 468707, 82419712, 31.417049075986327, 3.189373016357422, 71.96836683819184
PROFILE, 173018, 81212484, 474358, 82423808, 57.366558249359066, 47.66702651977539, 71.97271395509159
PROFILE, 174018, 81673588, 461104, 82427904, 30.662963675936478, 1.8921136856079102, 71.97590697015954
PROFILE, 175019, 82148851, 474788.21178821183, 82440192, 29.562929515026347, 0.004553794860839844, 71.9790999852275
PROFILE, 176019, 82621336, 472485, 82440192, 52.12466673639795, 38.6751651763916, 71.9834855721883
PROFILE, 177019, 83094198, 472862, 82452480, 46.682719698048714, 29.345273971557617, 71.98637082676778
PROFILE, 178019, 83563097, 468899, 82456576, 34.07465939235863, 7.73167610168457, 71.98956384183572
PROFILE, 179019, 84026035, 462938, 82460672, 39.37261875089019, 16.810297966003418, 71.99387248867441
PROFILE, 180019, 84492520, 466485, 82468864, 51.08341270830367, 36.88211441040039, 71.9967577432539
PROFILE, 181019, 84957806, 465286, 82472960, 31.942871163295827, 4.071140289306641, 71.99991228826079
PROFILE, 182020, 85432366, 474085.91408591415, 82477056, 29.572749385771257, 0.005984306335449219, 72.00395164467204
PROFILE, 183020, 85899086, 466720, 82485248, 41.70927507655605, 20.807504653930664, 72.00691383937364
PROFILE, 184021, 86365186, 465634.3656343657, 82489344, 52.72468031174334, 39.687156677246094, 72.0101068544416
PROFILE, 185021, 86830290, 465104, 82497536, 33.2564527399943, 6.313729286193848, 72.0144924414024
PROFILE, 186021, 87299236, 468946, 82501632, 49.41730333552913, 34.01329517364502, 72.01760851634825
PROFILE, 187021, 87774709, 475473, 82505728, 48.69687811565304, 32.776427268981934, 72.0208015314162
