total_iterations, iterations_per_second, memory_usage
13581266, 42117.89772727273, 1514569728
13649024, 46729.6551724138, 1515261952
13708326, 42237.89173789174, 1514733568
13776084, 45353.413654618475, 1515425792
13835386, 43003.625815808555, 1514901504
13903144, 45475.1677852349, 1515630592
13962446, 27659.514925373132, 1515089920
14020569, 58123, 1525501952
14025975, 4883.468834688347, 1514467328
14085122, 59147, 1526513664
14097855, 12733, 1515311104
14151879, 54024, 1527820288
14153035, 932.258064516129, 1516482560
14212336, 30209.373408048905, 1516011520
14268560, 56224, 1526542336
14278058, 9498, 1515524096
14330938, 37798.427448177266, 1515794432
14387159, 56164.835164835175, 1527095296
14418869, 31710, 1518338048
14449540, 28531.162790697676, 1516376064
14508842, 40813.48933241569, 1516707840
14563914, 43261.586802827966, 1515712512
14623216, 39455.75515635396, 1516048384
14678288, 42363.07692307692, 1515806720
14737590, 34358.05330243337, 1516199936
14792662, 39849.49348769899, 1515991040
14851964, 43733.03834808259, 1516421120
14856299, 3530.130293159609, 1562906624
14861076, 4615.458937198068, 1549680640
14861723, 529.4599018003273, 1534611456
14871807, 10084, 1529675776
14895979, 13172.75204359673, 1458077696
14914155, 12101.198402130492, 1427021824
14946941, 28734.443470639788, 1472892928
15022246, 75305, 1484869632
15091166, 68920, 1507151872
15158860, 67694, 1528614912
15191273, 32413, 1525706752
15224733, 33460, 1521127424
15299041, 74308, 1521127424
15348978, 40271.77419354839, 1520345088
15395594, 39074.601844090525, 1519697920
15470001, 74407, 1523032064
15501518, 31454.091816367265, 1520898048
15539568, 34972.42647058823, 1518243840
15612617, 73049, 1527685120
15644810, 32193, 1523056640
15677781, 32971, 1520910336
15738615, 43639.885222381636, 1521197056
15785230, 38845.833333333336, 1520107520
15844532, 43191.551347414425, 1520156672
15891147, 37411.717495987155, 1519886336
15950449, 42941.34685010862, 1521422336
15997064, 38813.48875936719, 1521111040
16052137, 42136.954858454475, 1522454528
16090296, 35169.58525345622, 1520218112
16145368, 42168.45329249617, 1521827840
16183527, 35072.61029411764, 1521061888
16234371, 40256.53206650832, 1521393664
16272529, 34657.58401453224, 1520652288
16319144, 38461.22112211221, 1520422912
16365760, 38493.806771263415, 1522425856
16403919, 34753.18761384335, 1520283648
16450534, 38716.77740863788, 1520865280
16488693, 34753.18761384335, 1520193536
16535308, 38334.70394736842, 1520812032
16573467, 34880.25594149908, 1520238592
16620082, 38461.22112211221, 1520828416
16658241, 34784.8678213309, 1520308224
16704856, 38115.290269828285, 1521156096
16743015, 33828.90070921986, 1520537600
16789630, 38146.481178396076, 1521324032
16827789, 34658.49227974569, 1520803840
16874404, 38556.65839536807, 1521422336
