total_iterations, iterations_per_second, memory_usage
146663533, 594575, 69652480
147264414, 600881, 69681152
147862949, 598535, 69705728
148457503, 594554, 69730304
149056739, 599236, 69750784
149648515, 591776, 69779456
150249001, 600486, 69804032
150845929, 596928, 69828608
151438994, 593065, 69857280
152034546, 595552, 69881856
152630969, 596423, 69906432
153231163, 600194, 69939200
153827219, 596056, 69963776
154429445, 602226, 69984256
155026525, 597080, 70008832
155626309, 599784, 70037504
156223747, 597438, 70057984
156823689, 599942, 70086656
157420492, 596803, 70111232
158021366, 600874, 70131712
158613179, 591813, 70164480
159215638, 602459, 70193152
159813538, 597900, 70217728
160415577, 602039, 70242304
161008287, 592117.8821178821, 70270976
161609623, 601336, 70303744
162205981, 596358, 70324224
162807118, 601137, 70356992
163404511, 597393, 70381568
164005297, 600786, 70410240
164602207, 596910, 70438912
165203200, 600993, 70459392
165802478, 599278, 70483968
166403914, 601436, 70516736
166993900, 589986, 70541312
167584321, 590421, 70565888
168182313, 597992, 70590464
168780998, 598086.9130869132, 70619136
169376856, 595858, 70639616
169972856, 596000, 70672384
170565598, 592742, 70688768
171164475, 598877, 70713344
171760989, 596514, 70746112
172359020, 598031, 70766592
172962133, 603113, 70795264
173561726, 599593, 70819840
174158086, 596360, 70844416
174758729, 600643, 70873088
175357800, 599071, 70897664
175959168, 601368, 70918144
176553071, 593903, 70946816
177148506, 595435, 70975488
177742663, 594157, 71004160
178342377, 599714, 71028736
178936024, 593647, 71057408
179533148, 597124, 71077888
180130865, 597717, 71102464
180730330, 599465, 71131136
181327650, 597320, 71155712
181925013, 597363, 71184384
182522391, 597378, 71204864
183116510, 594119, 71233536
183711191, 594681, 71262208
184306072, 594881, 71286784
184904274, 598202, 71315456
185506730, 602456, 71335936
186103518, 596788, 71360512
186705698, 602180, 71393280
187301597, 595899, 71421952
187897758, 596161, 71446528
188495533, 597775, 71471104
189100518, 604985, 71495680
189694191, 593673, 71528448
190295049, 600858, 71553024
190890852, 595803, 71577600
191487284, 595836.1638361639, 71606272
192087799, 600515, 71626752
192687578, 599779, 71655424
193286179, 598601, 71680000
193883225, 597046, 71704576
194484209, 600984, 71729152
195080974, 596765, 71761920
195685573, 604599, 71782400
196282555, 596982, 71806976
196884580, 602025, 71831552
197481107, 596527, 71864320
198081431, 600324, 71884800
198676571, 595140, 71909376
199274940, 598369, 71938048
199871841, 596901, 71962624
200473859, 602018, 71987200
201069870, 596011, 72011776
201663281, 593411, 72032256
202251774, 588493, 72065024
202850837, 599063, 72085504
203445556, 594719, 72118272
204045352, 599796, 72134656
204639932, 594580, 72167424
205236096, 596164, 72196096
205829675, 593579, 72216576
206430834, 601159, 72245248
207025719, 594885, 72269824
207627227, 601508, 72294400
208223237, 596010, 72314880
208821365, 598128, 72343552
209417422, 596057, 72372224
210016094, 598672, 72396800
210606136, 590042, 72417280
