total_iterations, iterations_per_second, memory_usage
161874252, 666148, 66719744
162546166, 671914, 66756608
163207899, 661733, 66785280
163870386, 662487, 66818048
164522539, 652153, 66850816
165188103, 665564, 66883584
165844897, 656794, 66912256
166515375, 670478, 66949120
167185029, 669654, 66973696
167858277, 673248, 67010560
168527477, 669200, 67047424
169201877, 674400, 67076096
169862519, 660642, 67100672
170529306, 666787, 67133440
171179898, 650592, 67166208
171843685, 663787, 67194880
172505521, 661836, 67227648
173170083, 664562, 67264512
173833687, 663604, 67293184
174475771, 642084, 67321856
175143714, 667943, 67354624
175813790, 670076, 67379200
176476041, 662251, 67411968
177132991, 656950, 67440640
177789191, 656200, 67473408
178449390, 660199, 67506176
179103964, 654574, 67534848
179759337, 655373, 67563520
180420855, 661518, 67600384
181087061, 666206, 67633152
181753331, 666270, 67661824
182417709, 664378, 67694592
183081180, 663471, 67723264
183737026, 655846, 67751936
184379352, 642326, 67788800
185054306, 674954, 67817472
185709866, 655560, 67842048
186380019, 670153, 67874816
187046537, 666518, 67903488
187734307, 687770, 67936256
188409871, 675564, 67973120
189080382, 670511, 68005888
189745982, 665600, 68042752
190408452, 662470, 68079616
191065041, 656589, 68104192
191728589, 663548, 68136960
192394154, 665565, 68161536
193062432, 668278, 68194304
193737491, 675059, 68231168
194404702, 667211, 68255744
195070159, 665457, 68292608
195737651, 667492, 68321280
196376961, 639310, 68354048
197024262, 647301, 68378624
197683356, 659094, 68407296
198342439, 659083, 68440064
199006437, 663998, 68472832
199646738, 640301, 68505600
200321186, 674448, 68538368
200821063, 499877, 68571136
201284647, 463584, 68587520
201838586, 553939, 68620288
202489182, 650596, 68648960
203168284, 679102, 68681728
203842545, 674261, 68710400
204521292, 678747, 68743168
205191935, 670643, 68775936
205824772, 632837, 68816896
206526774, 702002, 68841472
207225205, 698431, 68874240
207810039, 584834, 68898816
208365829, 555790, 68919296
208860058, 494229, 68947968
209552083, 692025, 68976640
210239996, 687913, 69017600
210930240, 690244, 69058560
211622526, 692286, 69091328
212073767, 451241, 69050368
212601667, 527900, 69074944
213295603, 693936, 69107712
213953168, 657565, 58441728
214634258, 681090, 58478592
215314004, 679066.9330669332, 58511360
215987777, 673773, 58535936
216663625, 675848, 58576896
217348294, 684669, 58605568
218029438, 681144, 58638336
218702614, 673176, 58671104
219380545, 677931, 58699776
220056358, 675813, 58732544
220736943, 680585, 58765312
221420380, 683437, 58806272
222099700, 679320, 58834944
222772792, 673092, 58867712
223446280, 673488, 58896384
224124164, 677884, 58925056
224806182, 682018, 58961920
225477844, 671662, 58998784
226148153, 670309, 59027456
226823870, 675717, 59064320
227497740, 673870, 59101184
228177629, 679889, 59129856
228860596, 682967, 59166720
229537233, 676637, 59195392
230209460, 672227, 59224064
230893680, 684220, 59256832
231571531, 677851, 59293696
232235854, 664323, 59318272
232919270, 683416, 59355136
233597585, 678315, 59392000
234276752, 679167, 59420672
234952319, 675567, 59449344
235626620, 674301, 59486208
236303897, 677277, 59514880
236985302, 681405, 59551744
237671672, 686370, 59584512
238358155, 686483, 59613184
239037182, 679027, 59645952
239715248, 678066, 59682816
240389058, 673810, 59711488
241067991, 678933, 59740160
241744855, 676864, 59777024
242424924, 680069, 59817984
243107490, 682566, 59858944
243781301, 673811, 59887616
244464786, 683485, 59916288
245138895, 674109, 59953152
245810834, 671939, 59985920
246482892, 672058, 60014592
247158624, 675732, 60051456
247840324, 681700, 60084224
248528899, 688575, 60112896
249206184, 677285, 60145664
249885061, 678877, 60178432
250563153, 678092, 60211200
251242241, 679088, 60252160
251922616, 680375, 60280832
252583323, 660707, 60309504
253257108, 673785, 60342272
253937744, 680636, 60375040
254615218, 677474, 60403712
255302198, 686980, 60436480
255979471, 677273, 60473344
256655655, 676184, 60502016
257334822, 679167, 60538880
258017375, 682553, 60563456
258697319, 679944, 60600320
259380849, 683530, 60633088
260058561, 677712, 60657664
260734739, 676178, 60694528
261414812, 680073, 60731392
262096848, 682036, 60760064
262770637, 673789, 60788736
263455055, 684418, 60821504
264130928, 675873, 60862464
264809648, 678720, 60891136
265490717, 681069, 60923904
266156245, 665528, 60952576
266833752, 677507, 60989440
267514985, 681233, 61022208
268194387, 679402, 61054976
268872574, 678187, 61087744
269552908, 680334, 61120512
270230341, 677433, 61149184
270886455, 656114, 61194240
271548465, 662010, 61227008
272224211, 675746, 61255680
272891991, 667780, 61288448
273570575, 678584, 61325312
274249135, 678560, 61362176
274925888, 676753, 61390848
275607229, 681341, 61423616
276281203, 673974, 61448192
276962763, 681560, 61480960
277642194, 679431, 61509632
278321686, 679492, 61546496
278999040, 677354, 61575168
279671622, 672582, 61620224
280344341, 672719, 61652992
281013836, 669495, 61681664
281697676, 683840, 61714432
282378663, 680987, 61747200
283054109, 675446, 61775872
283732995, 678886, 61804544
284409495, 676500, 61841408
285083387, 673892, 61878272
285670151, 584426.2948207172, 61911040
286056429, 386278, 61927424
286593172, 536743, 61956096
287006244, 413072, 61980672
287656554, 650310, 62013440
288310619, 654065, 62046208
288979399, 668780, 62078976
289648646, 669247, 62107648
290309376, 660730, 62140416
290921015, 611639, 62173184
291485351, 564336, 62193664
291870242, 384891, 62214144
292253648, 383406, 62226432
292672388, 418740, 62242816
293061610, 386900.59642147116, 62271488
293552445, 490835, 62300160
294213833, 661388, 62332928
294867726, 653893, 62365696
295539625, 671899, 62402560
296209929, 670304, 62427136
296889608, 679679, 62464000
297565090, 675482, 62492672
298223390, 658300, 62525440
298874491, 651101, 62562304
299511060, 636569, 62586880
300196458, 685398, 62627840
300861051, 664593, 62660608
301499845, 638794, 62689280
302197521, 697676, 62722048
302901034, 703513, 62746624
303607196, 706162, 62779392
304303643, 696447, 62820352
304967140, 663497, 62844928
305643712, 676572, 62877696
306301242, 657530, 62914560
306977732, 676490, 62951424
307644437, 666705, 62984192
308322028, 677591, 63008768
308994410, 672382, 63041536
309666555, 672145, 63078400
310338706, 672151, 63107072
311001633, 662927, 63135744
311667378, 665745, 63172608
312346452, 679074, 63201280
313026669, 680217, 63229952
313697712, 671043, 63266816
314372557, 674845, 63299584
315024020, 651463, 63332352
315698158, 674138, 63369216
316370034, 671876, 63393792
317048387, 678353, 63430656
317716470, 668083, 63463424
318381046, 664576, 63492096
319048171, 667125, 63528960
319720605, 672434, 63557632
320388369, 667764, 63582208
321063666, 675297, 63623168
321738973, 675307, 63655936
322418246, 679273, 63696896
323097812, 679566, 63725568
323775700, 677888, 63754240
324451427, 675727, 63787008
325110680, 659253, 63815680
325775106, 664426, 63852544
326448763, 673657, 63881216
327119199, 670436, 63913984
327795776, 676577, 63950848
328474145, 678369, 63987712
329130235, 656090, 64012288
329794065, 663830, 64045056
330471764, 677699, 64077824
331144733, 672969, 64106496
331796254, 651521, 64135168
332467452, 671198, 64172032
333140780, 673328, 64204800
333817160, 676380, 64233472
334488837, 671677, 64266240
335155889, 667052, 64303104
335817114, 661225, 64335872
336495523, 678409, 64372736
337170747, 675224, 64405504
337844470, 673723, 64434176
338511710, 667240, 64475136
339174019, 662309, 64503808
339842888, 668869, 64532480
340518504, 675616, 64565248
341200257, 681753, 64593920
341871657, 671400, 64626688
342538257, 666600, 64659456
343220741, 682484, 64688128
343891657, 670916, 64729088
344559089, 667432, 64757760
345221333, 662244, 64786432
345888132, 666799, 64819200
346558831, 670699, 64847872
347237050, 678219, 64892928
347905715, 668665, 64925696
348578952, 673237, 64962560
349249245, 670293, 64987136
349922200, 672955, 65019904
350596937, 674737, 65052672
351272153, 675216, 65081344
351925048, 652895, 65110016
352596052, 671004, 65142784
353254942, 658890, 65175552
353929064, 674122, 65208320
354600298, 670563.4365634366, 65249280
355259827, 659529, 65265664
355931730, 671903, 65298432
356603223, 671493, 65331200
357270064, 666841, 65359872
357950114, 680050, 65396736
358620325, 670211, 65421312
359298179, 677854, 65458176
359966074, 667895, 65490944
360639577, 673503, 65523712
361310489, 670912, 65556480
361987903, 677414, 65581056
362656539, 668636, 65609728
363340841, 684302, 65642496
364015576, 674735, 65679360
364690161, 674585, 65720320
365351720, 660898.101898102, 65748992
366027269, 675549, 65777664
366691515, 664246, 65810432
367364334, 672819, 65839104
368037206, 672872, 65867776
368716766, 679560, 65900544
369390818, 674052, 65929216
370060771, 669953, 65961984
370727580, 666809, 65998848
371396435, 668855, 66027520
372060620, 664185, 66060288
372738195, 677575, 66093056
373409173, 670978, 66134016
374085150, 675977, 66162688
374762087, 676937, 66191360
375430923, 668836, 66228224
376099971, 669048, 66265088
376774912, 674941, 66293760
377443599, 668687, 66322432
378116878, 673279, 66355200
378784111, 667233, 66387968
379457833, 673722, 66416640
380131338, 673505, 66457600
380801956, 670618, 66494464
381473067, 671111, 66523136
382144644, 671577, 66555904
382798834, 654190, 66592768
383479761, 680927, 66621440
384154839, 675078, 66650112
384822817, 667978, 66682880
385482803, 659986, 66707456
386157810, 675007, 66752512
386831586, 673776, 66781184
387508633, 677047, 66813952
388176745, 668112, 66842624
388850097, 673352, 66875392
389520535, 670438, 66908160
390195248, 674713, 66945024
390868904, 673656, 66977792
391541743, 672839, 67006464
392178978, 637235, 67039232
392841202, 662224, 67067904
393514559, 673357, 67100672
394185535, 670976, 67137536
394847693, 662158, 67174400
395515183, 667490, 67207168
396189131, 673948, 67235840
396857773, 668642, 67268608
397536357, 678584, 67293184
398209110, 672753, 67330048
398874592, 665482, 67362816
399548205, 673613, 67399680
400220501, 672296, 67428352
400896290, 675789, 67465216
401576745, 680455, 67497984
402249350, 672605, 67530752
402922854, 673504, 67559424
403595223, 672369, 67592192
404272609, 677386, 67629056
404941162, 668553, 67661824
405601902, 660740, 67690496
406274351, 672449, 67719168
406943729, 669378, 67751936
407612450, 668721, 67780608
408288879, 676429, 67813376
408961604, 672725, 67846144
409637282, 675678, 67878912
410316562, 679280, 67915776
410995068, 678506, 67948544
411671794, 676726, 67977216
412323381, 651587, 68005888
412993917, 670536, 68042752
413671237, 677320, 68075520
414348380, 677143, 68104192
415027736, 679356, 68141056
415692108, 664372, 67805184
416371670, 679562, 67842048
417046546, 674876, 67874816
417720825, 674279, 67911680
418395112, 674287, 67944448
419063549, 668437, 67973120
419735639, 672090, 68005888
420413622, 677983, 68030464
421086156, 672534, 68067328
421752817, 666661, 68104192
422429515, 676698, 68128768
423106796, 677281, 68169728
423781084, 674288, 68202496
424453758, 672674, 68235264
425125161, 671403, 68259840
425791597, 666436, 68288512
426461632, 670035, 68325376
427132771, 671139, 68362240
427803387, 670616, 68395008
428478458, 675071, 68423680
429153215, 674757, 68456448
429836010, 682795, 68485120
430515821, 679811, 68517888
431194148, 678327, 68546560
431871009, 676861, 68579328
432529746, 658737, 68620288
433194773, 665027, 68661248
433870578, 675805, 68698112
434522990, 652412, 68722688
435197618, 674628, 68759552
435866057, 668439, 68792320
436543413, 677356, 68816896
437214354, 670941, 68849664
437888120, 673766, 68882432
438557209, 669089, 68923392
439225547, 668338, 68952064
439891579, 666032, 68984832
440569693, 678114, 69013504
441225327, 655634, 69042176
441898854, 673527, 69079040
442572777, 673923, 69107712
443247190, 674413, 69144576
443921954, 674764, 69177344
444597581, 675627, 69210112
445267120, 669539, 69238784
445928432, 661312, 69267456
446601513, 673081, 69296128
447273105, 671592, 69324800
447943668, 670563, 69361664
448611353, 667685, 69386240
449283627, 672274, 69427200
449950794, 667167, 69459968
450622285, 671491, 69500928
451295231, 672946, 69529600
451966540, 671309, 69558272
452622390, 655850, 69181440
453299426, 677036, 69210112
453972960, 673534, 69246976
454646554, 673594, 69279744
455305517, 658963, 69312512
455971073, 665556, 69345280
456643203, 672130, 69369856
457319520, 676317, 69402624
457982987, 663467, 69431296
458639315, 656328, 69464064
459303094, 663779, 69488640
459977087, 673993, 69529600
460642068, 664981, 69558272
461309513, 667445, 69599232
461976468, 666955, 69632000
462650126, 673658, 69664768
463319376, 669250, 69693440
463995936, 676560, 69722112
464667222, 671286, 69754880
465337770, 670548, 69783552
466000354, 662584, 69824512
466672846, 672492, 69869568
467350480, 677634, 69894144
468024739, 674259, 69922816
468700776, 676037, 69959680
469382045, 681269, 69992448
470057977, 675932, 70021120
470732098, 674121, 70053888
471400868, 668770, 70090752
472074778, 673910, 70123520
472729909, 655131, 70148096
473401922, 672013, 70180864
474066227, 664305, 70213632
474743572, 677345, 70242304
475416384, 672812, 70275072
476085116, 668732, 70307840
476760844, 675728, 70340608
477441539, 680695, 70389760
478118529, 676990, 70422528
478797554, 679025, 70451200
479473306, 675752, 70479872
480145650, 672344, 70504448
480822229, 676579, 70541312
481495805, 673576, 70578176
482166332, 670527, 70602752
482844717, 678385, 70639616
483520857, 676140, 70676480
484197883, 677026, 70709248
484864377, 666494, 70742016
485541306, 676929, 70770688
486212873, 671567, 70803456
486889966, 677093, 70840320
487562600, 672634, 70868992
488239307, 676707, 70897664
488912726, 673419, 70938624
489589877, 677151, 70975488
490270320, 680443, 71004160
490952525, 682205, 71032832
491627672, 675147, 71065600
492303245, 675573, 71098368
492959916, 656671, 71127040
493634508, 674592, 71159808
494303403, 668895, 71192576
494978748, 675345, 71225344
495651142, 672394, 71254016
496315556, 664414, 71286784
496984048, 668492, 71311360
497656521, 672473, 71344128
498330116, 673595, 71380992
499005832, 675716, 71409664
499683354, 677522, 71450624
500348831, 665477, 71475200
501021575, 672744, 71507968
501698335, 676760, 71544832
502376180, 677845, 71577600
503057992, 681812, 71610368
503734475, 676483, 71643136
504408978, 674503, 71671808
505083801, 674823, 71708672
505764708, 680907, 71745536
506435389, 670681, 71778304
507109501, 674112, 71806976
507787279, 677778, 71835648
508467614, 680335, 71872512
509137925, 670311, 71905280
509821364, 683439, 71942144
510495560, 674196, 71974912
511169855, 674295, 72007680
511847077, 677222, 72044544
512523945, 676868, 72069120
513183019, 659074, 72101888
513860229, 677210, 72134656
514517425, 657196, 72167424
515188374, 670949, 72196096
515859734, 671360, 72228864
516527787, 668053, 72269824
517204079, 676292, 72294400
517883323, 679244, 72327168
518559954, 676631, 72359936
519242627, 682673, 72388608
519926785, 684158, 72425472
520594530, 667745, 72454144
521271711, 677181, 72486912
521953302, 681591, 72519680
522623837, 670535, 72552448
523308441, 684604, 72585216
523986470, 678029, 72617984
524657923, 671453, 72654848
525337721, 679798, 72679424
526010829, 673108, 72712192
526658983, 648154, 72744960
527336866, 677883, 72773632
528009565, 672699, 72810496
528685587, 676022, 72839168
529343166, 657579, 72871936
530018476, 675310, 72900608
530696635, 678159, 72933376
531375244, 678609, 72962048
532043931, 668687, 72994816
532720334, 676403, 73031680
533386532, 666198, 73064448
534062600, 676068, 73089024
534738498, 675898, 73129984
535417608, 679110, 73158656
536094908, 677300, 73187328
536761397, 666489, 73224192
537437206, 675809, 73256960
538115807, 678601, 73285632
538790060, 674253, 73318400
539465216, 675156, 73355264
540131643, 666427, 73388032
540780434, 648791, 73420800
541447268, 666834, 73449472
542125009, 677741, 73482240
542810176, 685167, 73519104
543489964, 679788, 73547776
544160597, 670633, 73580544
544841222, 680625, 73613312
545514088, 672866, 73646080
546180338, 666250, 73682944
546841052, 660714, 73703424
547514193, 673141, 73736192
548199938, 685745, 73773056
548881687, 681749, 73801728
549551568, 669881, 73830400
550218154, 666586, 73875456
550895922, 677768, 73908224
551573616, 677694, 73936896
552250421, 676805, 73973760
552927996, 677575, 74006528
553590421, 662425, 74047488
554263553, 673132, 74080256
554939656, 676103, 74113024
